0.047,0.345,0.750
-0.265,-0.434,1.000
0.173,-0.311,0.750
0.128,0.244,0.500
0.245,-0.342,1.000
-0.382,-0.350,1.000
-0.461,-0.216,1.000
-0.092,0.440,1.000
-0.026,-0.095,0.250
0.245,-0.289,0.750
-0.074,-0.170,0.500
0.446,0.072,1.000
0.433,0.010,1.000
0.070,0.256,0.500
0.748,0.139,1.000
0.248,-0.248,0.750
0.003,0.034,0.250
0.221,0.011,0.500
-0.008,0.145,0.500
-0.058,-0.260,0.500
0.110,0.027,0.250
-0.215,0.461,1.000
0.144,0.326,0.750
0.491,0.069,1.000
0.071,0.226,0.500
0.048,0.152,0.500
-0.035,-0.094,0.250
-0.162,0.099,0.500
0.045,-0.080,0.250
0.298,-0.078,0.750
0.104,0.102,0.500
-0.003,0.345,0.750
0.236,0.331,1.000
-0.248,-0.713,1.000
0.214,-0.394,1.000
-0.052,0.020,0.250
0.024,-0.160,0.500
-0.001,-0.030,0.250
-0.366,-0.019,0.750
-0.246,-0.589,1.000
0.523,0.036,1.000
0.440,0.321,1.000
-0.473,-0.148,1.000
0.215,-0.203,0.750
0.192,0.075,0.500
0.062,-0.526,1.000
0.085,-0.298,0.750
0.013,0.330,0.750
0.191,0.019,0.500
-0.183,-0.348,0.750
-0.126,0.334,0.750
0.070,-0.325,0.750
0.460,0.119,1.000
0.356,-0.256,1.000
0.223,-0.179,0.750
-0.077,0.184,0.500
0.403,0.096,0.750
-0.277,-0.116,0.750
-0.481,0.169,1.000
-0.433,-0.000,1.000
0.159,-0.097,0.500
-0.252,0.028,0.750
0.136,0.185,0.500
-0.287,-0.158,0.750
0.297,0.149,0.750
-0.352,0.133,0.750
0.571,-0.019,1.000
0.665,-0.038,1.000
-0.027,0.027,0.250
-0.167,0.194,0.500
-0.060,0.181,0.500
-0.147,0.038,0.500
0.181,-0.437,1.000
-0.087,0.112,0.500
0.123,-0.120,0.500
-0.127,-0.139,0.500
0.292,0.026,0.750
-0.056,0.050,0.250
-0.214,0.404,1.000
0.422,0.168,1.000
0.328,-0.142,0.750
-0.288,0.355,1.000
-0.000,-0.074,0.250
-0.089,0.513,1.000
0.109,0.344,0.750
0.171,-0.360,1.000
0.243,-0.078,0.750
-0.136,0.330,0.750
0.029,-0.247,0.500
0.146,0.114,0.500
-0.216,-0.585,1.000
0.612,-0.103,1.000
0.081,0.053,0.250
-0.015,0.018,0.250
-0.103,-0.089,0.500
0.557,-0.180,1.000
-0.024,0.306,0.750
-0.045,-0.125,0.250
-0.080,0.096,0.250
0.057,-0.059,0.250
0.016,0.026,0.250
-0.448,-0.158,1.000
